City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,saldanha,-33.0117,17.9442,9.03,94,87,5.2,ZA,1690412567
83,naze,28.3667,129.4833,25.79,82,100,6.97,JP,1690412905
84,broken hill,-31.95,141.4333,13.42,48,0,7.16,AU,1690412238
85,sitka,57.0531,-135.33,15.94,82,100,2.06,US,1690412218
86,beledweyne,4.7358,45.2036,23.46,74,31,9.02,SO,1690412905
87,san julian,21.0167,-102.1667,17.21,72,98,7.18,MX,1690412440
88,dashiqiao,40.6373,122.5025,25.9,82,2,3.77,CN,1690412708
89,aswan,24.0934,32.907,34.9,13,99,3.31,EG,1690412906
90,tiksi,71.6872,128.8694,8.2,67,41,1.53,RU,1690412906
91,jamestown,42.097,-79.2353,27.79,54,100,5.14,US,1690412725
92,isafjordur,66.0755,-23.124,7.18,83,79,5.38,IS,1690412907
93,utrik,11.2278,169.8474,28.18,81,100,8.57,MH,1690412249
94,schweizer-reneke,-27.1887,25.3293,11.92,58,21,6.5,ZA,1690412907
95,bobo-dioulasso,11.1771,-4.2979,24.99,76,56,2.73,BF,1690412907
96,portland,45.5234,-122.6762,29.96,36,2,2.68,US,1690412521
97,dolores,-36.3132,-57.6792,9.39,74,10,6.79,AR,1690412516
98,invercargill,-46.4,168.35,6.98,62,100,5.32,NZ,1690412446
99,alexandria,31.2156,29.9553,26.3,66,0,2.12,EG,1690412301
100,mountain home,43.133,-115.6912,34.71,17,0,3.6,US,1690412908
101,shagonar,51.5333,92.8,14.8,73,82,0.66,RU,1690412909
102,bom jesus da lapa,-13.255,-43.4181,27.0,30,43,3.22,BR,1690412802
103,vorgashor,67.5833,63.95,13.8,94,100,2.88,RU,1690412909
104,mirnyy,62.5353,113.9611,15.69,72,33,4.02,RU,1690412909
105,kargasok,59.0556,80.8572,14.12,96,36,2.81,RU,1690412515
106,stornoway,58.2093,-6.3865,13.98,83,100,3.6,GB,1690412910
107,khandyga,62.6667,135.6,19.15,41,0,5.2,RU,1690412374
108,enewetak,11.3474,162.3373,28.4,76,93,6.35,MH,1690412910
109,hinton,53.4001,-117.5857,12.42,80,100,3.09,CA,1690412327
110,egilsstadir,65.2653,-14.3948,8.08,92,96,3.57,IS,1690412910
111,kongsvinger,60.1905,11.9977,10.37,97,6,1.06,NO,1690412911
112,pritzwalk,53.1494,12.1741,12.55,95,64,3.18,DE,1690412911
113,arvayheer,46.2639,102.775,14.59,66,54,1.27,MN,1690412331
114,klyuchi,52.2667,79.1667,22.0,37,100,2.77,RU,1690412911
115,kiffa,16.6166,-11.4045,34.81,42,27,6.44,MR,1690412912
116,antofagasta,-23.65,-70.4,17.6,88,29,2.23,CL,1690412793
117,port douglas,-16.4833,145.4667,22.35,78,84,7.4,AU,1690412912
118,san luis de la loma,17.2706,-100.8939,31.48,63,62,4.37,MX,1690412383
119,kourou,5.1552,-52.6478,26.03,84,16,2.7,GF,1690412539
120,papatowai,-46.5619,169.4708,5.69,85,100,11.86,NZ,1690412913
121,laguna,38.421,-121.4238,37.88,30,0,5.14,US,1690412913
